"filename", "language", "C++", "Dart", "JSON", "YAML", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\projects\health_app\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\USER\projects\health_app\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\USER\projects\health_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 5, 13, 73
"c:\Users\USER\projects\health_app\android\app\google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\USER\projects\health_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\USER\projects\health_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"c:\Users\USER\projects\health_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\USER\projects\health_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\USER\projects\health_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\USER\projects\health_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\USER\projects\health_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\USER\projects\health_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\USER\projects\health_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\USER\projects\health_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\USER\projects\health_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\USER\projects\health_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\USER\projects\health_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\USER\projects\health_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USER\projects\health_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\USER\projects\health_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\USER\projects\health_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\projects\health_app\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\USER\projects\health_app\lib\core\commons\category_card.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\USER\projects\health_app\lib\core\commons\custom_elevated_button.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\USER\projects\health_app\lib\core\commons\custom_textformfield.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\USER\projects\health_app\lib\core\commons\doctor_card.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 50
"c:\Users\USER\projects\health_app\lib\core\commons\enum.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\USER\projects\health_app\lib\core\commons\google_button.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\USER\projects\health_app\lib\core\commons\loader.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\USER\projects\health_app\lib\core\commons\utils.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\USER\projects\health_app\lib\core\enums\enums.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\projects\health_app\lib\core\extensions\extension.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\USER\projects\health_app\lib\features\admin\controller\admin_controller.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\USER\projects\health_app\lib\features\admin\repository\admin_repository.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 28, 13, 95
"c:\Users\USER\projects\health_app\lib\features\admin\screens\view_help_messages.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 47, 7, 126
"c:\Users\USER\projects\health_app\lib\features\admin\screens\view_help_messages_details.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\USER\projects\health_app\lib\features\auth\controller\auth_controller.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 84
"c:\Users\USER\projects\health_app\lib\features\auth\repository\auth_respository.dart", "Dart", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 216
"c:\Users\USER\projects\health_app\lib\features\auth\screens\login.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 110
"c:\Users\USER\projects\health_app\lib\features\auth\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 5, 57
"c:\Users\USER\projects\health_app\lib\features\auth\screens\register.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 133
"c:\Users\USER\projects\health_app\lib\features\auth\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 62
"c:\Users\USER\projects\health_app\lib\features\chat\controller\chat_controller.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 61
"c:\Users\USER\projects\health_app\lib\features\chat\repository\chat_repository.dart", "Dart", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 211
"c:\Users\USER\projects\health_app\lib\features\chat\screens\chat_screen.dart", "Dart", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 49, 10, 203
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\chat_sample.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 53
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\receiver_card.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\sender_card.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\USER\projects\health_app\lib\features\home\controller\home_controller.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 48
"c:\Users\USER\projects\health_app\lib\features\home\repository\home_repository.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 65
"c:\Users\USER\projects\health_app\lib\features\home\screens\about_us_screen.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\USER\projects\health_app\lib\features\home\screens\all_specialists_screen.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\USER\projects\health_app\lib\features\home\screens\dummy_screen.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\USER\projects\health_app\lib\features\home\screens\general_screen.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 91
"c:\Users\USER\projects\health_app\lib\features\home\screens\home.dart", "Dart", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 90, 11, 363
"c:\Users\USER\projects\health_app\lib\features\home\screens\home_screen.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 88
"c:\Users\USER\projects\health_app\lib\features\home\screens\messages_screen.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 102
"c:\Users\USER\projects\health_app\lib\features\home\screens\notifications_screen.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\USER\projects\health_app\lib\features\home\screens\privacy_policy_screen.dart", "Dart", 0, 727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 730
"c:\Users\USER\projects\health_app\lib\features\home\screens\profile_screen.dart", "Dart", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 55, 12, 258
"c:\Users\USER\projects\health_app\lib\features\home\screens\schedule_screen.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\USER\projects\health_app\lib\features\home\screens\settings.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 151
"c:\Users\USER\projects\health_app\lib\features\home\screens\test_api.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 60
"c:\Users\USER\projects\health_app\lib\features\home\widgets\doctors_list.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 181
"c:\Users\USER\projects\health_app\lib\features\home\widgets\doctors_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 18
"c:\Users\USER\projects\health_app\lib\features\home\widgets\listtile.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"c:\Users\USER\projects\health_app\lib\features\home\widgets\specialist_tile.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\USER\projects\health_app\lib\features\home\widgets\text_field.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Users\USER\projects\health_app\lib\features\medicals\controller\medical_controller.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 42
"c:\Users\USER\projects\health_app\lib\features\medicals\repository\medical_repository.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 164
"c:\Users\USER\projects\health_app\lib\features\medicals\screens\medical_card_screen.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 95
"c:\Users\USER\projects\health_app\lib\features\splash_screen\splash_screen.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 105
"c:\Users\USER\projects\health_app\lib\firebase_options.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 84
"c:\Users\USER\projects\health_app\lib\main.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\USER\projects\health_app\lib\models\admin_model.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 116
"c:\Users\USER\projects\health_app\lib\models\chat_display.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 36
"c:\Users\USER\projects\health_app\lib\models\doctor.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\USER\projects\health_app\lib\models\medical_model.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 92
"c:\Users\USER\projects\health_app\lib\models\message_model.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 104
"c:\Users\USER\projects\health_app\lib\models\quote.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 55, 18, 89
"c:\Users\USER\projects\health_app\lib\models\user_model.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 108
"c:\Users\USER\projects\health_app\lib\pallete.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\projects\health_app\lib\providers\firebase_providers.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\USER\projects\health_app\lib\router.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 83
"c:\Users\USER\projects\health_app\lib\theme\pallete.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 108
"c:\Users\USER\projects\health_app\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\USER\projects\health_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\USER\projects\health_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\USER\projects\health_app\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\USER\projects\health_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\USER\projects\health_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 4, 25
"c:\Users\USER\projects\health_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\USER\projects\health_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\USER\projects\health_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\USER\projects\health_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\USER\projects\health_app\macos\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\USER\projects\health_app\pubspec.yaml", "YAML", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 50, 7, 99
"c:\Users\USER\projects\health_app\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\USER\projects\health_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"c:\Users\USER\projects\health_app\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\USER\projects\health_app\windows\flutter\generated_plugin_registrant.cc", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Users\USER\projects\health_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\USER\projects\health_app\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\USER\projects\health_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\USER\projects\health_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\USER\projects\health_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\USER\projects\health_app\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\USER\projects\health_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\USER\projects\health_app\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\USER\projects\health_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 548, 4429, 301, 45, 13, 38, 50, 462, 90, 8, 938, 691, 7613